"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2021","Mississippi",67.2075,266,65.0426,320,102.349,151,106.547,104,93.93,25,91.1204,21,15.4267,49
"2021","Mississippi St.",67.0465,277,65.6747,309,101.079,179,106.592,102,97.9847,78,95.3231,59,11.2688,75
"2021","Mississippi Valley St.",73.6406,25,71.3821,50,77.4964,347,79.1675,357,118.289,346,120.793,357,-41.6255,357
"2021","Missouri",70.5204,112,68.7182,158,103.256,130,110.406,53,101.07,157,95.1683,58,15.2377,51
"2021","Missouri St.",68.1739,214,69.3803,128,106.189,77,107.684,87,98.8662,104,98.3113,100,9.37283,89
"2021","Monmouth",74.4259,14,74.4557,6,100.429,185,98.9574,236,98.2821,87,104.89,230,-5.93236,227
"2021","Montana",67.1141,275,66.0069,302,98.7218,218,98.1177,248,101.53,174,101.928,171,-3.81033,201
"2021","Montana St.",69.1235,178,68.5411,170,101.134,176,98.8198,237,102.329,201,104.239,213,-5.41941,223
"2021","Morehead St.",67.166,272,65.5771,312,100.374,187,100.272,212,94.537,35,96.3284,70,3.94368,128
"2021","Morgan St.",75.6329,3,72.173,31,103.288,129,100.135,215,97.3399,72,105.299,241,-5.16313,221
"2021","Mount St. Mary's",63.5797,342,61.8721,356,98.4456,225,94.7298,298,97.1736,67,100.805,141,-6.07508,229
"2021","Murray St.",67.1782,269,66.4456,275,106.668,68,103.415,150,98.5828,93,103.224,199,0.190552,169
"2021","N.C. State",68.1175,217,68.0152,196,107.204,59,110.424,51,102.439,204,97.3609,84,13.0631,64
"2021","Navy",67.2145,265,66.2592,283,104.999,94,103.98,135,98.3615,89,103.317,200,0.66212,160
"2021","Nebraska",72.6501,43,72.0912,36,93.7319,304,102.214,171,102.11,193,93.6309,39,8.58339,95
"2021","Nebraska Omaha",72.1185,54,70.98,64,93.2355,310,93.8807,304,108.052,302,107.256,277,-13.3749,312
"2021","Nevada",70.084,132,70.0294,96,104.742,98,109.033,69,99.767,126,99.5412,121,9.49222,87
"2021","New Hampshire",67.3281,258,66.7312,265,97.2559,252,96.0352,281,99.3869,119,105.515,245,-9.47962,264
"2021","New Mexico",68.3528,205,68.0357,195,89.9176,333,91.7489,326,105.172,264,103.029,193,-11.28,289
"2021","New Mexico St.",65.4941,321,64.913,325,105.555,86,103.73,140,100.306,139,103.033,194,0.697374,159
"2021","New Orleans",74.2859,17,72.6919,23,101.278,172,97.1774,266,102.919,218,108.127,292,-10.9494,285
